,ID,GeneID,geneSymbol,chr,strand,exonStart_0base,exonEnd,upstreamES,upstreamEE,downstreamES,downstreamEE,ID.1,IJC_SAMPLE_1,SJC_SAMPLE_1,IJC_SAMPLE_2,SJC_SAMPLE_2,IncFormLen,SkipFormLen,PValue,FDR,IncLevel1,IncLevel2,IncLevelDifference,cell_line,RBP,alt_splice_type
0,26856,ENSG00000090621.13,PABPC4,chr1,-,39561684,39561787,39560815,39561122,39562072,39562203,26856,"485,433","1,0","345,524","0,0",198,99,1.0,1.0,"0.996,1.0","1.0,1.0",-0.002,HepG2,FUBP1,SE
1,26857,ENSG00000090621.13,PABPC4,chr1,-,39561727,39561787,39560815,39561122,39562072,39562203,26857,"127,114","1,0","77,132","0,0",159,99,1.0,1.0,"0.988,1.0","1.0,1.0",-0.006,HepG2,FUBP1,SE
2,26858,ENSG00000090621.13,PABPC4,chr1,-,39563835,39563922,39563613,39563741,39564422,39564491,26858,"110,118","1,5","81,138","1,3",186,99,0.515807404494,1.0,"0.983,0.926","0.977,0.961",-0.014,HepG2,FUBP1,SE
3,26859,ENSG00000090621.13,PABPC4,chr1,-,39563835,39563922,39563613,39563741,39564470,39564542,26859,"68,69","2,1","55,67","1,3",186,99,0.54283782094,1.0,"0.948,0.973","0.967,0.922",0.016,HepG2,FUBP1,SE
4,26860,ENSG00000090621.13,PABPC4,chr1,-,39564685,39564773,39564232,39564542,39565105,39565183,26860,"418,355","8,6","308,451","0,2",187,99,0.00494512086154,0.0522917652482134,"0.965,0.969","1.0,0.992",-0.029,HepG2,FUBP1,SE
5,26861,ENSG00000090621.13,PABPC4,chr1,-,39564700,39564773,39564422,39564542,39565105,39565378,26861,"227,210","8,6","193,253","0,2",172,99,0.000816175852119,0.0128501061950713,"0.942,0.953","1.0,0.986",-0.045,HepG2,FUBP1,SE
6,26862,ENSG00000090621.13,PABPC4,chr1,-,39565105,39565378,39564685,39564773,39567750,39567846,26862,"544,477","2,0","393,600","0,0",198,99,1.0,1.0,"0.993,1.0","1.0,1.0",-0.004,HepG2,FUBP1,SE
7,26864,ENSG00000090621.13,PABPC4,chr1,-,39571606,39571705,39571233,39571349,39572392,39572418,26864,"2,2","255,256","2,0","172,270",198,99,1.0,1.0,"0.004,0.004","0.006,0.0",0.001,HepG2,FUBP1,SE
8,23418,ENSG00000090621.13,PABPC4,chr1,-,39561684,39561787,39560815,39561122,39562072,39562203,23418,"274,252","0,0","527,422","1,0",198,99,1.0,1.0,"1.0,1.0","0.996,1.0",0.002,HepG2,SAFB2,SE
9,23419,ENSG00000090621.13,PABPC4,chr1,-,39561727,39561787,39560815,39561122,39562072,39562203,23419,"59,47","0,0","141,116","1,0",159,99,1.0,1.0,"1.0,1.0","0.989,1.0",0.006,HepG2,SAFB2,SE
10,23420,ENSG00000090621.13,PABPC4,chr1,-,39562322,39562380,39562072,39562203,39563613,39563741,23420,"45,28","1,0","62,56","0,0",157,99,1.0,1.0,"0.966,1.0","1.0,1.0",-0.017,HepG2,SAFB2,SE
11,23421,ENSG00000090621.13,PABPC4,chr1,-,39562322,39562416,39562072,39562203,39563613,39563741,23421,"130,127","1,0","104,109","0,0",193,99,1.0,1.0,"0.985,1.0","1.0,1.0",-0.008,HepG2,SAFB2,SE
12,23422,ENSG00000090621.13,PABPC4,chr1,-,39563835,39563922,39563613,39563741,39564422,39564491,23422,"108,111","2,5","100,92","5,3",186,99,0.619518992901,1.0,"0.966,0.922","0.914,0.942",0.016,HepG2,SAFB2,SE
13,23423,ENSG00000090621.13,PABPC4,chr1,-,39563835,39563922,39563613,39563741,39564470,39564542,23423,"39,56","1,0","23,31","3,1",186,99,0.0266662254383,0.3162335281909545,"0.954,1.0","0.803,0.943",0.104,HepG2,SAFB2,SE
14,23424,ENSG00000090621.13,PABPC4,chr1,-,39564685,39564773,39564232,39564542,39565105,39565183,23424,"213,213","2,1","377,312","3,1",187,99,1.0,1.0,"0.983,0.991","0.985,0.994",-0.003,HepG2,SAFB2,SE
15,23425,ENSG00000090621.13,PABPC4,chr1,-,39564700,39564773,39564422,39564542,39565105,39565378,23425,"105,134","2,1","232,181","3,1",172,99,0.78338302297,1.0,"0.968,0.987","0.978,0.99",-0.006,HepG2,SAFB2,SE
16,23426,ENSG00000090621.13,PABPC4,chr1,-,39565105,39565378,39564685,39564773,39567750,39567846,23426,"317,329","0,0","528,448","0,2",198,99,1.0,1.0,"1.0,1.0","1.0,0.991",0.004,HepG2,SAFB2,SE
17,23428,ENSG00000090621.13,PABPC4,chr1,-,39571606,39571705,39571233,39571349,39572392,39572418,23428,"0,1","117,156","0,0","179,180",198,99,1.0,1.0,"0.0,0.003","0.0,0.0",0.002,HepG2,SAFB2,SE
18,24612,ENSG00000090621.13,PABPC4,chr1,-,39563835,39563922,39563613,39563741,39564422,39564491,24612,"47,33","2,9","32,50","13,13",186,99,0.0598593869807,0.4219611541848367,"0.926,0.661","0.567,0.672",0.174,HepG2,BOP1,SE
19,24613,ENSG00000090621.13,PABPC4,chr1,-,39563835,39563922,39563613,39563741,39564470,39564542,24613,"47,26","0,2","21,27","0,6",186,99,0.0219942849155,0.2145466408947538,"1.0,0.874","1.0,0.705",0.085,HepG2,BOP1,SE
20,24614,ENSG00000090621.13,PABPC4,chr1,-,39564685,39564773,39564232,39564542,39565105,39565183,24614,"185,175","1,0","228,197","0,0",187,99,1.0,1.0,"0.99,1.0","1.0,1.0",-0.005,HepG2,BOP1,SE
21,24615,ENSG00000090621.13,PABPC4,chr1,-,39564700,39564773,39564422,39564542,39565105,39565378,24615,"92,78","1,0","99,97","0,0",172,99,1.0,1.0,"0.981,1.0","1.0,1.0",-0.01,HepG2,BOP1,SE
22,24616,ENSG00000090621.13,PABPC4,chr1,-,39567750,39567846,39565105,39565378,39568801,39568856,24616,"637,719","0,0","1526,1861","2,0",195,99,1.0,1.0,"1.0,1.0","0.997,1.0",0.002,HepG2,BOP1,SE
23,27085,ENSG00000090621.13,PABPC4,chr1,-,39561684,39561787,39560815,39561122,39562072,39562203,27085,"516,455","1,2","603,486","0,0",198,99,1.0,1.0,"0.996,0.991","1.0,1.0",-0.006,HepG2,RAVER1,SE
24,27086,ENSG00000090621.13,PABPC4,chr1,-,39561727,39561787,39560815,39561122,39562072,39562203,27086,"119,107","1,2","124,116","0,0",159,99,0.487536122852,1.0,"0.987,0.971","1.0,1.0",-0.021,HepG2,RAVER1,SE
25,27087,ENSG00000090621.13,PABPC4,chr1,-,39563835,39563922,39563613,39563741,39564422,39564491,27087,"47,73","1,4","76,90","0,4",186,99,0.425077696003,1.0,"0.962,0.907","1.0,0.923",-0.027,HepG2,RAVER1,SE
26,27088,ENSG00000090621.13,PABPC4,chr1,-,39563835,39563922,39563613,39563741,39564470,39564542,27088,"23,23","2,1","26,42","3,3",186,99,0.435408887807,1.0,"0.86,0.924","0.822,0.882",0.04,HepG2,RAVER1,SE
27,27089,ENSG00000090621.13,PABPC4,chr1,-,39564685,39564773,39564232,39564542,39565105,39565183,27089,"269,292","5,14","413,426","3,4",187,99,0.000670619459735,0.0155278681567708,"0.966,0.917","0.986,0.983",-0.043,HepG2,RAVER1,SE
28,27090,ENSG00000090621.13,PABPC4,chr1,-,39564700,39564773,39564422,39564542,39565105,39565378,27090,"189,200","5,14","264,226","3,4",172,99,0.00265404852446,0.042981961801226,"0.956,0.892","0.981,0.97",-0.052,HepG2,RAVER1,SE
29,27091,ENSG00000090621.13,PABPC4,chr1,-,39565105,39565378,39564685,39564773,39567750,39567846,27091,"492,465","3,0","603,540","0,0",198,99,1.0,1.0,"0.988,1.0","1.0,1.0",-0.006,HepG2,RAVER1,SE
30,27092,ENSG00000090621.13,PABPC4,chr1,-,39567750,39567846,39565105,39565378,39568801,39568856,27092,"665,557","0,0","758,634","0,1",195,99,1.0,1.0,"1.0,1.0","1.0,0.997",0.002,HepG2,RAVER1,SE
31,27093,ENSG00000090621.13,PABPC4,chr1,-,39569594,39569689,39568697,39568939,39569862,39570002,27093,"741,528","0,1","840,643","0,0",194,99,1.0,1.0,"1.0,0.996","1.0,1.0",-0.002,HepG2,RAVER1,SE
32,27094,ENSG00000090621.13,PABPC4,chr1,-,39571606,39571705,39571233,39571349,39572392,39572418,27094,"7,0","186,199","1,0","216,179",198,99,0.910207850465,1.0,"0.018,0.0","0.002,0.0",0.008,HepG2,RAVER1,SE
33,25248,ENSG00000090621.13,PABPC4,chr1,-,39563835,39563922,39563613,39563741,39564422,39564491,25248,"162,145","9,14","68,119","8,7",186,99,0.885652542432,1.0,"0.905,0.846","0.819,0.9",0.016,HepG2,CPSF7,SE
34,25249,ENSG00000090621.13,PABPC4,chr1,-,39563835,39563922,39563613,39563741,39564470,39564542,25249,"88,72","3,4","39,76","0,5",186,99,0.763275311733,1.0,"0.94,0.905","1.0,0.89",-0.023,HepG2,CPSF7,SE
35,25250,ENSG00000090621.13,PABPC4,chr1,-,39564685,39564773,39564232,39564542,39565105,39565183,25250,"310,291","1,0","153,284","3,5",187,99,0.0489487236084,0.5560203719021403,"0.994,1.0","0.964,0.968",0.031,HepG2,CPSF7,SE
36,25251,ENSG00000090621.13,PABPC4,chr1,-,39564700,39564773,39564422,39564542,39565105,39565378,25251,"177,174","1,0","76,154","3,5",172,99,0.00479843788214,0.149135590300197,"0.99,1.0","0.936,0.947",0.053,HepG2,CPSF7,SE
37,25252,ENSG00000090621.13,PABPC4,chr1,-,39565105,39565378,39564685,39564773,39567750,39567846,25252,"520,589","0,2","346,495","0,0",198,99,1.0,1.0,"1.0,0.993","1.0,1.0",-0.004,HepG2,CPSF7,SE
38,25254,ENSG00000090621.13,PABPC4,chr1,-,39571606,39571705,39571233,39571349,39572392,39572418,25254,"0,0","201,219","0,1","99,215",198,99,1.0,1.0,"0.0,0.0","0.0,0.002",-0.001,HepG2,CPSF7,SE
39,25255,ENSG00000090621.13,PABPC4,chr1,-,39575758,39576223,39572392,39572586,39576551,39576790,25255,"147,190","1,0","96,147","0,1",198,99,1.0,1.0,"0.987,1.0","1.0,0.987",0.0,HepG2,CPSF7,SE
40,23837,ENSG00000090621.13,PABPC4,chr1,-,39561684,39561787,39560815,39561122,39562072,39562203,23837,"516,659","0,0","527,422","1,0",198,99,1.0,1.0,"1.0,1.0","0.996,1.0",0.002,HepG2,PARN,SE
41,23838,ENSG00000090621.13,PABPC4,chr1,-,39561727,39561787,39560815,39561122,39562072,39562203,23838,"107,125","0,0","141,116","1,0",159,99,1.0,1.0,"1.0,1.0","0.989,1.0",0.006,HepG2,PARN,SE
